 n,sym_x,sym_y,reock,bbox,polsby,hull,schwartzberg,score
 1,1.40982845893268,1.46233715704051,0.293969427544707,0.576015395500123,0.228918698162065,0.70676215091718,2.09006294795715,77.6086471426305
 2,1.35527239676534,1.44720126649007,0.202277704479266,0.491810018303175,0.195841087007674,0.704097724072423,2.25968599777243,77.2586455094345
 3,1.25659210027926,1.69761466286872,0.240269985470322,0.56780076926346,0.243446177071102,0.769135724625251,2.02674224753714,77.7517039712972
 4,1.77119176361368,1.71402628859019,0.237480904966745,0.398985820063926,0.14459273677975, 0.547805396752811,2.62982446371863,80.0972052039998
 5,1.25550468055017,1.53726844048967,0.126224035076539,0.571813148590828,0.173892030839599,0.721613796724558,2.39806063607972,77.9291827386486
 6,1.43287538119869,1.51692089377832,0.361956321974206,0.542979004772363,0.228342040250955,0.709499613736238,2.09270041969117,78.0022895729303
 7,1.3667464312476,1.25682604576608,0.438453643710215,0.671495618907847,0.218625977783987,0.829049264541111,2.13869629749532,78.4148947105883
 8,1.44689308417092,1.31230855879746,0.26550325459684,0.476962388358737,0.105046283416668,0.617508740836588,3.08538706342329,80.1886677326974
 9,1.54194836110569,1.38718200780466,0.314966957689396,0.453497605940737,0.124074523308639,0.64813803615968,2.83895620094958,79.9714762594175
10,1.35205918675241,1.35225979339515,0.360931330485846,0.543487066477543,0.26143805003582, 0.768913459371118,1.95576019214928,76.9328112427028
11,1.25902044713257,1.57501686533169,0.205529500440982,0.399059061964122,0.153337585237265,0.587578129978924,2.55373418524206,77.5739125441668
12,1.30058585327118,1.3446169227745,0.374370681141172,0.481949441043372,0.170051234605223,0.587911849688036,2.42499085598255,77.3723066196064
13,1.45971782085577,1.47463738684045,0.329935227771592,0.402721246046844,0.11596135233707, 0.528865127989733,2.93659032950387,79.6761852689638
14,1.52395805171547,1.53682456258792,0.297413976434516,0.432550515970809,0.256561548200603,0.627177531063997,1.97425940768506,76.8694477537116
15,1.52267600794521,1.55144525094644,0.313100507843415,0.434097271255991,0.0772230699240519,0.552407653034563,3.59854111210525,83.1868598042022
16,1.42193495264686,1.43620058338082,0.406171952880769,0.641953251096063,0.212450549589697,0.74616947700438,2.16955702931019,78.7285652014488
17,1.48419520274376,1.52163761705498,0.403906549063724,0.594581888689154,0.301777258361558,0.791824188112627,1.82035774400791,78.0619760725304
18,1.85832503586996,1.75933416350007,0.219522342111816,0.391964809480249,0.0992517886941804,0.572031031560134,3.17417472281441,82.8416871824488
19,1.4546373313867,1.396763183027,0.2925072915727,0.5871116885383,0.250465910337967,0.712366834157738,1.99813895947858,77.282187736073
20,1.38397639628025,1.40596515107769,0.426580465480008,0.532955978226526,0.260148021468696,0.702743711797637,1.96060333197573,77.1360955799917
